k_id	work	k	genre	year	mov_id	mov	tempo	time_sig	key	exp_beg	exp_len	tot_cads	cad_no	cad_type	next_key	elided	arr_m	arr_beat	end_m	end_beat	cad_len
6	Sonata for Piano and Violin	6	Violin sonata	1764	1	I	Allegro	4/4	C	1	26	4	1	K1	I	false	6	3.00	7	1.00	2.00
6	Sonata for Piano and Violin	6	Violin sonata	1764	1	I	Allegro	4/4	C	1	26	4	2	K2	V	false	10	3.00	11	1.00	2.00
6	Sonata for Piano and Violin	6	Violin sonata	1764	1	I	Allegro	4/4	C	1	26	4	3	K3	V	false	14	3.00	15	1.00	2.00
6	Sonata for Piano and Violin	6	Violin sonata	1764	1	I	Allegro	4/4	C	1	26	4	4	K4	 	false	26	3.00	27	1.00	2.00
6	Sonata for Piano and Violin	6	Violin sonata	1764	2	IV	Molto allegro	2/4	C	1	44	5	1	K1	I	false	8	1.00	9	1.00	2.00
6	Sonata for Piano and Violin	6	Violin sonata	1764	2	IV	Molto allegro	2/4	C	1	44	5	2	K2	V	true	15	1.00	15	1.00	0.00
6	Sonata for Piano and Violin	6	Violin sonata	1764	2	IV	Molto allegro	2/4	C	1	44	5	3	K4	V	true	29	1.00	29	1.00	0.00
6	Sonata for Piano and Violin	6	Violin sonata	1764	2	IV	Molto allegro	2/4	C	1	44	5	4	K4	V	false	39	1.00	39	1.50	0.50
6	Sonata for Piano and Violin	6	Violin sonata	1764	2	IV	Molto allegro	2/4	C	1	44	5	5	K4	 	false	43	1.00	45	1.00	4.00
7	Sonata for Piano and Violin	7	Violin sonata	1764	3	I	Molto allegro	4/4	D	1	36	4	1	K1	I	true	5	1.00	5	1.00	0.00
7	Sonata for Piano and Violin	7	Violin sonata	1764	3	I	Molto allegro	4/4	D	1	36	4	2	K2	V	false	11	1.00	13	1.00	8.00
7	Sonata for Piano and Violin	7	Violin sonata	1764	3	I	Molto allegro	4/4	D	1	36	4	3	K3	V	false	23	1.00	24	1.00	4.00
7	Sonata for Piano and Violin	7	Violin sonata	1764	3	I	Molto allegro	4/4	D	1	36	4	4	K4	 	false	33	1.00	37	1.00	16.00
8	Sonata for Piano and Violin	8	Violin sonata	1764	4	I	Allegro	4/4	Bb	1	29	4	1	K1	I	true	7	1.00	7	1.00	0.00
8	Sonata for Piano and Violin	8	Violin sonata	1764	4	I	Allegro	4/4	Bb	1	29	4	2	K2	V	false	14	1.00	15	1.00	4.00
8	Sonata for Piano and Violin	8	Violin sonata	1764	4	I	Allegro	4/4	Bb	1	29	4	3	K4	V	true	22	3.00	22	3.00	0.00
8	Sonata for Piano and Violin	8	Violin sonata	1764	4	I	Allegro	4/4	Bb	1	29	4	4	K4	 	false	28	3.00	30	1.00	6.00
9	Sonata for Piano and Violin	9	Violin sonata	1764	5	I	Allegro spiritoso	2/2	G	1	31	3	1	K1	I	false	6	1.00	6	2.50	3.00
9	Sonata for Piano and Violin	9	Violin sonata	1764	5	I	Allegro spiritoso	2/2	G	1	31	3	2	K2	V	false	10	1.00	10	2.00	2.00
9	Sonata for Piano and Violin	9	Violin sonata	1764	5	I	Allegro spiritoso	2/2	G	1	31	3	3	K4	 	false	27	1.00	32	1.00	20.00
9a	Piano Piece	9a (5a)	Piano piece	1764	6		Allegro	4/4	C	1	21	4	1	K1	I	false	4	1.00	5	1.00	4.00
9a	Piano Piece	9a (5a)	Piano piece	1764	6		Allegro	4/4	C	1	21	4	2	K2	V	false	8	1.00	9	1.00	4.00
9a	Piano Piece	9a (5a)	Piano piece	1764	6		Allegro	4/4	C	1	21	4	3	K3	V	false	14	1.00	15	1.00	4.00
